ticker,name,market,sector,price,changePercent,marketCap,capCategory,pe,rsi,sma50,sma200,bearishScore,bullishScore,sentimentAvg,compositeScore
PEGA,Pegasystems,US,Technology,43.205,-31.84,7338813440,Mid,20.300468,52.6,43.00,52.74,6,4,0.000,42
TENB,Tenable Holdings,US,Technology,19.5,-50.46,2327213056,Mid,,56.0,19.56,25.97,4,5,0.000,41
RPD,Rapid7,US,Technology,5.835,-92.95,384486304,Small,16.208332,47.5,6.45,14.95,5,7,0.000,40
VRNS,Varonis Systems,US,Technology,24.615,-53.25,2902042368,Mid,,58.2,23.44,40.43,7,2,0.000,27
DT,Dynatrace,US,Technology,35.555,-28.83,10717906944,Large,59.249996,46.9,36.69,44.53,6,0,0.000,24
IOT,Samsara,US,Technology,30.86,23.94,17915097088,Large,,53.7,29.77,35.10,3,5,0.000,46
GWRE,Guidewire Software,US,Technology,141.43,36.54,12024261632,Large,64.28636,49.4,143.18,196.57,4,2,0.000,28
PCOR,Procore Technologies,US,Technology,55.29,-34.18,8595928064,Mid,,51.4,54.71,66.84,3,2,0.000,39
BRZE,Braze,US,Technology,23.19,-73.41,2630308096,Mid,,58.9,19.81,26.30,3,2,0.000,40
QLYS,Qualys,US,Technology,82.385,-20.52,2954186752,Mid,15.144301,39.4,93.72,125.24,5,2,0.000,36
TOST,Toast,US,Technology,28.94,-55.65,17039770624,Large,51.660713,60.0,27.52,35.86,5,2,0.000,31
GLBE,Global-e Online,US,Technology,33.12,36.58,5563079680,Mid,84.92308,54.6,33.07,35.25,5,2,0.000,32
OPEN,Opendoor Technologies,US,Technology,5.313,-67.68,5093499904,Mid,,59.7,4.89,5.62,4,2,0.000,36
POOL,Pool Corp,US,Consumer Cyclical,229.72,-40.50,8450897920,Mid,21.152855,67.6,220.60,266.35,3,2,0.000,44
FIVE,Five Below,US,Consumer Cyclical,239.62,25.73,13236233216,Large,37.03555,63.0,221.12,174.63,0,8,0.000,67
AZO,AutoZone,US,Consumer Cyclical,3565.05,135.46,59065114624,Large,24.947866,55.0,3573.36,3776.46,4,2,0.000,44
AAP,Advance Auto Parts,US,Consumer Cyclical,57.23,-70.49,3452670720,Mid,50.64646,60.8,53.61,53.31,2,6,0.000,52
