ticker,name,market,sector,price,changePercent,marketCap,capCategory,pe,rsi,sma50,sma200,bearishScore,bullishScore,sentimentAvg,compositeScore
SMIN.L,Smiths Group,UK,Industrials,21.18,42.82,6557705728,Mid,28.621622,20.5,25.60,24.15,2,10,0.000,67
IAG.L,IAG,UK,Industrials,3.4560000000000004,67.20,15676734464,Large,5.7599998,32.9,4.07,3.90,3,4,0.000,52
EZJ.L,easyJet,UK,Industrials,3.5360000000000005,-64.47,2654790144,Mid,5.44,20.9,4.52,4.83,10,7,0.000,51
SSE.L,SSE,UK,Utilities,25.73,82.22,31014117376,Large,29.574713,44.8,25.39,20.69,2,6,0.000,72
CNA.L,Centrica,UK,Utilities,2.031,285.10,9169239040,Mid,,56.1,1.93,1.73,0,7,0.000,70
SVT.L,Severn Trent,UK,Utilities,29.580000000000002,32.05,8906188800,Mid,28.17143,36.2,30.41,27.78,2,5,0.000,65
UU.L,United Utilities,UK,Utilities,12.67,42.68,8639525888,Mid,21.474577,37.1,12.99,11.97,2,3,0.000,63
OCDO.L,Ocado,UK,Technology,1.9165,-90.52,1593041024,Small,,36.6,2.26,2.49,5,2,0.000,40
LAND.L,Land Securities,UK,Real Estate,5.53,-19.66,4120060672,Mid,16.757576,25.6,6.33,6.06,2,9,0.000,66
BLND.L,British Land,UK,Real Estate,3.528,-31.89,3527630848,Mid,7.84,30.5,3.99,3.76,2,4,0.000,60
SGRO.L,Segro,UK,Real Estate,6.938,-23.56,9384999936,Mid,16.921951,34.5,7.64,6.97,4,2,0.000,57
BRBY.L,Burberry,UK,Consumer Cyclical,10.145,-50.15,3633889024,Mid,,33.4,11.50,11.96,7,2,0.000,38
JMAT.L,Johnson Matthey,UK,Materials,17.88,-39.68,2995688960,Mid,,26.8,21.66,20.16,5,11,0.000,60
HLN.L,Haleon,UK,Consumer Defensive,3.757,13.85,33463908352,Large,20.872223,44.0,3.86,3.67,2,2,0.000,54
NXT.L,Next,UK,Consumer Cyclical,121.3,52.77,13982325760,Large,18.378788,28.3,131.13,129.24,2,10,0.000,66
MKS.L,Marks & Spencer,UK,Consumer Cyclical,3.3060000000000005,113.08,6691551232,Mid,330.6,25.9,3.73,3.58,3,8,0.000,53
WPP.L,WPP,UK,Communication,2.271,-75.73,2449870080,Mid,,33.9,2.75,3.53,10,2,0.000,32
IMB.L,Imperial Brands,UK,Consumer Defensive,30.59,109.81,23916267520,Large,12.285141,39.7,31.64,30.88,2,3,0.000,59
AV.L,Aviva,UK,Financials,6.1000000000000005,57.00,18587877376,Large,23.461538,38.8,6.44,6.52,6,2,0.000,46
HLMA.L,Halma,UK,Technology,36.18,61.23,13665245184,Large,39.326088,36.2,37.76,34.78,2,6,0.000,55
HIK.L,Hikma Pharmaceuticals,UK,Healthcare,12.540000000000001,-43.31,2751320576,Mid,9.288889,36.3,14.55,16.86,7,2,0.000,47
INF.L,Informa,UK,Communication,7.398,25.35,9402855424,Mid,739.8,29.2,8.32,8.75,7,6,0.000,37
JD.L,JD Sports Fashion,UK,Consumer Cyclical,0.6784,-59.86,3312781568,Mid,6.784,28.4,0.79,0.85,7,7,0.000,54
KGF.L,Kingfisher,UK,Consumer Cyclical,2.8910000000000005,-7.55,4854803968,Mid,28.91,24.2,3.34,3.00,4,9,0.000,61
MRO.L,Melrose Industries,UK,Industrials,4.8500000000000005,18.89,6061840384,Mid,0.16724138,27.5,6.00,5.84,3,9,0.000,61
MNG.L,M&G,UK,Financials,2.741,37.05,6528799744,Mid,22.84167,30.3,3.05,2.75,2,3,0.000,55
PSON.L,Pearson,UK,Communication,9.574,20.25,5947891200,Mid,18.77255,46.3,9.50,10.28,5,4,0.000,52
RTO.L,Rentokil Initial,UK,Industrials,4.643,-4.86,11682900992,Large,51.588882,49.7,4.62,4.07,5,3,0.000,45
RMV.L,Rightmove,UK,Technology,4.32,-23.92,3280399360,Mid,15.428572,40.7,4.60,6.27,7,0,0.000,37
SDR.L,Schroders,UK,Financials,5.7250000000000005,-3.64,8877037568,Mid,16.838234,63.7,5.25,4.20,2,7,0.000,72
SN.L,Smith & Nephew,UK,Healthcare,12.005,-11.34,10192116736,Large,22.650946,34.4,12.70,12.66,4,4,0.000,54
WEIR.L,Weir Group,UK,Industrials,26.580000000000002,51.76,6900488192,Mid,27.978947,25.7,32.13,28.24,2,10,0.000,62
